SampleID,TA,Mass,Sample.Index,TA_evap
junk1,2368.336618,59.7289,1,2368.336618
junk2,2334.430207,60.0046,2,2333.097009
V_Seep_J,2837.168636,60.0677,3,2833.929859
C_Seep_I,2309.057435,60.2096,4,2305.105825
junk3,2338.338925,59.9708,5,2333.006339
C_Seep_M,2313.31695,59.9218,6,2306.726303
V_Seep_D,2579.454014,59.8113,7,2570.64039
V_Seep_A,2536.5163,60.3035,8,2526.410657
V_Seep_I,2581.927771,60.3077,9,2570.178384
C_Seep_Bottle2_Killed,2309.423522,59.7711,10,2297.607256
C_Seep_E,2297.37852,60.3277,11,2284.325233
Tet_Site1_Seep_C,2344.889312,60.42,12,2330.242076
Tet_Site1_Seep_D,2313.520258,60.3666,13,2297.764161
Tet_Site1_Seep_G,2312.136611,59.7339,14,2295.08739
Tet_Site1_Seep_H,2324.206573,60.0025,15,2305.760489
Tet_Site2_Seep_A,2362.799772,59.551,16,2342.71932
Tet_Site2_Seep_B,2348.895163,60.4924,17,2327.61412
Tet_Site2_Seep_C,2353.560976,60.1186,18,2330.917775
Tet_Site2_Seep_D,2365.3537,59.6281,19,2341.272044
Tet_Site2_Seep_E,2363.00007,60.3414,20,2337.620193
Tet_Site2_Seep_F,2394.965723,60.2267,21,2367.903964
Tet_Site2_Seep_G,2416.405386,59.5817,22,2387.752357
Tet_Site2_Seep_H,2431.840458,60.2813,23,2401.648308
Tet_Site1_Control_A,2386.216518,60.0616,24,2355.26165
Tet_Site1_Control_B,2371.044727,60.4009,25,2338.967459
Tet_Site1_Control_C,2345.001115,59.5523,26,2311.97293
Tet_Site1_Control_D,2382.590515,59.7652,27,2347.710248
Tet_Site1_Control_E,2368.059499,60.2797,28,2332.078854
Tet_Site1_Control_F,2363.196845,60.0279,29,2325.981147
Tet_Site1_Control_G,2331.200853,60.1868,30,2293.199265
Tet_Site1_Control_H,2332.622414,60.1069,31,2293.308553
offshore_pilemooring_20210810_B,2405.037596,59.7507,32,2363.175628
CRM,2243.941082,60.1474,33,2203.645843
