"SampleID","TA","Mass","Sample.Index","TA_evap"
"junk1",2149.76282671632,60.3623,1,2149.76282671632
"junk2",2105.82901021023,59.7926,2,2104.62636657219
"V1",2360.03041831574,59.8268,3,2357.33631966469
"V2",2354.59871316503,59.7659,4,2350.56916602327
"V3",2360.16057732095,60.2499,5,2354.77822708761
"V4",2360.18433052245,60.1659,6,2353.46015864062
"V5",2357.17905066381,59.883,7,2349.12490812168
"V6",2415.34174865088,60.2986,8,2405.71887315824
"V7",2368.43279267883,60.4881,9,2357.65494151761
"V8",2359.06044088434,59.7407,10,2346.99020554156
"V9",2359.34430964494,59.8325,11,2345.93894424923
"V10",2357.00230045851,59.7752,12,2342.27940136422
"V11",2355.96952327326,59.7041,13,2339.92432788207
"V12",2356.64085708329,59.9906,14,2339.26347129652
"V13",2357.22852527193,60.2198,15,2338.52036237295
"V14",2374.57833445185,59.7979,16,2354.39778203442
"V15",2359.04661814741,59.6479,17,2337.67360235445
"V16",2366.28172473404,60.266,18,2343.51613938006
"V17",2366.15774402254,60.2971,19,2342.06790273724
"V18",2359.09982807595,60.1963,20,2333.76184235891
"V19",2366.16361958593,60.35,21,2339.42730750021
"V20",2351.70836568252,59.9823,22,2323.82249573372
