SampleID,TA,Mass,Sample.Index,TA_evap,notes
Junk,2257.429884,60.2198,1,2257.429884,
D_30_1_BC,2071.604911,59.7699,2,2070.421813,
D_30_2_BC,2044.824991,59.8155,3,2042.490716,
N_30_3_BC,2384.276429,59.7296,4,2380.196092,
D_30_4_BC,2022.971846,59.6377,5,2018.358455,
D_30_5_BC,1948.496471,60.0632,6,1942.945199,
N_30_1_BC,2122.517788,59.5521,7,2115.26545,
N_30_2_BC,2100.563298,59.9681,8,2092.19452,
D_30_3_BC,2014.515877,59.9891,9,2005.34857,
N_30_4_BC,2523.249847,60.1131,10,2510.339529,redo
N_30_5_BC,2501.419889,59.9494,11,2487.207276,redo
D_30_1_AI,2339.979872,59.5138,12,2325.363302,
D_30_2_AI,2333.780582,59.722,13,2317.886503,
D_30_3_AI,2376.049429,60.1662,14,2358.528929,redo
D_30_4_AI,2336.393148,60.3616,15,2317.850345,
N_30_1_AI,2181.666394,60.1624,16,2163.12532,redo
N_30_2_AI,2412.020606,59.9819,17,2390.167645,redo
N_30_3_AI,2627.974429,60.3954,18,2602.691144,redo
N_30_4_AI,2537.93597,59.8894,19,2512.097256,redo
CRM_2,2203.858211,59.7334,20,2180.187603,
