"SampleID","TA","Mass","Sample.Index"
"JUNK1",2399.71230556018,60.1416,1
"JUNK2",2372.63729252266,59.9247,2
"JUNK3",2375.33520550632,60.3064,3
"T4_initial_1",2538.56205937803,60.4424,4
"T4_initial_2",2434.3036485558,59.7829,5
"T4_initial_3",2446.95953719906,60.2052,6
"T4_Blank",2434.59422636749,59.8403,7
"T4_19",2442.11352484858,59.6184,8
"T4_20",2441.57260475168,60.1459,9
"T4_62",2421.60582997727,60.2944,10
"T14_initial_1",2403.72078188981,59.979,11
"T14_initial_2",2396.50400232493,59.9077,12
"T14_initial_3",2424.0525284237,60.1416,13
"T14_Blank",2425.62245313106,60.1158,14
"T14_10",2429.14269796564,59.66,15
"T14_66",2436.54888776822,60.3507,16
"T14_72",2433.15495364936,59.5746,17
"T10_initial_1",2419.70391899173,59.706,18
"T10_initial_2",2400.01349205618,60.3065,19
"T10_initial_3",2407.77652888694,59.7518,20
"T10_Blank",2431.13309026235,59.6971,21
"T10_28",2431.74117139475,59.8117,22
"T10_47",2422.37547406668,59.9785,23
"T10_51",2431.67555641168,59.7705,24
"T9_initial_1",2423.59478845189,60.0797,25
"T9_initial_2",2432.48642260751,60.0329,26
"T9_initial_3",2430.85780141872,60.1714,27
"T9_Blank",2429.27739427605,59.957,28
"T9_44",2430.65700246302,59.7354,29
"T9_53",2425.15905576847,60.3196,30
"T9_63",2432.78719709373,59.6752,31
